ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifySecondaryObjects
44,13,269.6,223.9904761904762,0,13,26
44,14,290.57608695652175,225.75,0,14,27
44,15,256.91269841269843,257.4920634920635,0,15,28
44,16,290.83673469387753,268.3469387755102,0,16,30
44,17,112.02325581395348,291.4186046511628,0,17,37
45,1,122.48529411764706,51.76470588235294,0,1,1
45,2,208.42056074766356,63.86915887850467,0,2,7
45,3,336.0,82.16666666666667,0,3,11
45,4,248.40845070422534,92.84507042253522,0,4,12
45,5,314.9569892473118,94.49462365591398,0,5,13
45,6,38.58441558441559,128.87012987012986,0,6,16
45,7,232.42592592592592,135.5,0,7,19
45,8,121.77027027027027,158.51351351351352,0,8,22
45,9,113.69565217391305,180.91304347826087,0,9,27
45,10,228.91304347826087,194.31884057971016,0,10,30
45,11,250.1578947368421,198.78947368421052,0,11,31
45,12,286.21590909090907,222.61363636363637,0,12,33
45,13,271.24444444444447,224.7111111111111,0,13,34
45,14,256.94262295081967,257.27868852459017,0,14,35
45,15,289.7755102040816,267.9387755102041,0,15,37
45,16,112.3913043478261,291.0,0,16,41
46,1,130.59119496855345,56.0,0,1,1
46,2,208.65384615384616,63.73076923076923,0,2,3
46,3,336.0405405405405,81.95945945945945,0,3,6
46,4,248.1891891891892,93.04054054054055,0,4,7
46,5,315.10752688172045,94.59139784946237,0,5,8
46,6,38.18571428571428,128.57142857142858,0,6,12
46,7,232.35714285714286,135.69642857142858,0,7,13
46,8,121.73972602739725,158.06849315068493,0,8,17
46,9,113.91025641025641,180.42307692307693,0,9,20
46,10,58.8,185.94545454545454,0,10,21
46,11,229.02941176470588,194.35294117647058,0,11,22
46,12,249.72368421052633,198.55263157894737,0,12,23
46,13,285.7647058823529,222.42352941176472,0,13,24
46,14,271.47872340425533,224.82978723404256,0,14,25
46,15,257.0,257.3790322580645,0,15,26
46,16,289.29411764705884,267.94117647058823,0,16,30
46,17,112.38775510204081,291.265306122449,0,17,32
46,18,159.8695652173913,304.0,0,18,36
47,1,126.05217391304348,54.0,0,1,1
47,2,144.375,62.291666666666664,0,2,3
47,3,209.11111111111111,64.01010101010101,0,3,5
47,4,178.03333333333333,63.166666666666664,0,4,6
47,5,336.09859154929575,81.83098591549296,0,5,8
47,6,248.8095238095238,92.31746031746032,0,6,9
47,7,314.5208333333333,94.90625,0,7,10
47,8,232.45454545454547,135.63636363636363,0,8,16
47,9,121.98684210526316,157.44736842105263,0,9,18
47,10,113.88461538461539,180.66666666666666,0,10,23
47,11,229.27397260273972,194.63013698630138,0,11,26
47,12,250.2439024390244,198.26829268292684,0,12,27
47,13,285.82758620689657,222.44827586206895,0,13,28
47,14,271.8020833333333,224.96875,0,14,29
47,15,257.12605042016804,257.3529411764706,0,15,30
