CellNumber,GrowthRate,BirthLength,LifeHistory,AverageVelocity
344,0.0138437653223466,24.7328255631829,22,-0.024865666187359
345,0.0127394806554696,28.4787698990116,27,0.360380571248763
346,-0.00934473317743586,27.2891963694251,27,-0.0533369900254282
347,0.0247146155211593,18.4479855778113,25,0.130904529104816
348,0.0166045772892732,24.0294442306205,14,0.250875193696488
349,-0.0205075641770654,31.6530383935351,26,-0.727163636218127
350,0.021372346774052,16.533402718873,23,-0.232680229631909
351,0.0142652556527682,29.3073386977768,19,0.172729599838946
352,0.0256260062307428,18.4542826918437,19,0.408083078213275
353,0.00897125423007425,32.1676771019865,18,-0.647947609556107
354,0.0278084414629066,28.2683308763634,13,0.0834599980462896
355,-0.0167607479118172,36.9485905675263,23,-0.17335802168596
356,0.0032439568520286,23.8743605820897,26,0.0744841912847304
357,0.0194265117276956,25.3412855382081,18,-0.0630992236271208
358,-0.0182871585250024,38.8561531324399,3,-0.510600386739624
359,-0.000388396551573753,25.581660034691,26,-0.374581269078201
360,-0.0124276837000755,24.8511435394532,22,-0.240058121714204
361,0.0154639040155097,24.438461322351,12,1.02892004179151
362,0.0225039161784373,32.5742813657996,10,0.30359237897372
363,0.0498043035804572,28.6446671458339,7,1.18236986756098
364,0.0270189348754573,36.8107427140171,12,0.204603435918412
365,0.00887057527504876,29.7491582338677,22,0.209709469522161
366,0.016550740439964,25.1323001869809,25,-0.439852698482591
367,-0.010250828905979,27.2442879110979,25,-0.127459449772338
368,0.0296024340983322,27.7532905042186,12,0.942619388312936
369,0.127170746042637,22.5078389306905,3,0.418724337598481
370,0.0149977559810772,30.6021908584852,12,0.131477721302531
371,-0.0415764142213435,33.3966833929104,22,0.0938935236872463
372,0.0617381641400841,17.8415557321333,11,0.319713366303466
373,0.0544255308991414,28.4461465071525,6,0.810723748884811
374,0.0240064603904815,21.1452703759868,14,-0.192291876915614
375,0.0451440978246298,13.8994453555524,19,0.226262399145502
376,0.0127784998551009,33.1473863709792,10,0.282433262137283
377,0.0138887997942326,33.4482261784783,7,0.276649262912337
378,0.0187008475148888,23.8810963250978,16,-0.0632178855738275
379,-0.018643154274025,36.7878370015369,25,-0.262123110475647
380,0.0177578757826628,28.7746505599135,12,1.56042973704923
381,0.0179619363458568,35.2442552764764,11,1.00043988279621
382,0.0156043601958504,20.5992977496664,21,0.232135612367471
383,0.000156634685265749,24.0472868930586,11,1.95588334746431
384,0.0318779500971871,23.9925748289066,15,-0.121400905367429
385,0.0260043981801225,28.8172378442793,13,0.459303905135736
386,0.022572929897157,20.7807470167267,11,0.468241094654331
387,0.00152689989832036,21.3767394182846,11,-0.48606001758989
388,0.0267348337976982,28.3453513065028,15,0.121203561835202
389,0.0130597710179901,27.2269161606336,19,0.194909279888847
390,0.0192628933051045,29.5794966834638,17,-0.0071941713852396
391,-0.00979450741328628,22.0973719782317,20,0.329022215307774
392,0.0903482145735636,20.0886715399394,6,0.89577704260695
393,0.0120872592532963,29.984473454774,14,-0.110899600168209
394,0.0164970953909481,22.0876186341766,25,-0.37847804847337
395,0.0202691041469699,17.7904247477923,11,0.839876411273505
396,0.0901740820894239,27.9842098250156,5,-0.949815005522547
397,0.0131246003511149,37.2534626774529,17,-0.0524074578162143
398,-0.0295230034560447,46.8313733866466,16,0.145755465769587
399,0.0151342331999664,25.906545210015,20,-0.696788026887983
400,0.033315608562294,18.6794572681375,17,-0.329997943766935
401,0.0625402955279078,14.1399589777219,9,0.0952741977274585
402,0.0242622588110075,20.7646500879884,22,-0.116696181903153
403,0.0277678485235508,16.6910221219911,22,0.239638611557773
404,0.123324109738532,8.51346049634239,8,0.340565094619384
405,0.0160295345335899,32.2787905952796,22,-0.3913248166521
406,0.0740678042584412,11.1034127897064,10,-0.453457266309662
407,0.023281827699916,30.6436876044032,14,-0.127325682738653
408,-0.120924127835395,40.4754773452447,6,1.36105817441883
409,0.0222811929920041,25.6548479277944,15,0.297100949082233
410,0.0233793129961272,21.2959454335477,19,-1.04025415323507
411,0.014710960771966,23.8584245043815,20,0.276086717660678
412,0.0230376585696447,26.6677722122868,20,-0.0535813999783727
